name,size,sha256,role,header
테일즈 오브 더 월드 나리키리 던전 2_[AN9J][J].gba,8388608,a92c0f6dbb5c013b47b7178e23d81663e3952a10df7b1f68967ebf7bb3b98eb7,READ_ONLY_COMPARISON_REFERENCE,"{'title': 'NARIKIRI2\x00\x00\x00', 'game_code': 'AN9J', 'maker': 'AF', 'revision': 0, 'checksum': 45, 'computed_checksum': 45}"
테일즈 오브 더 월드 나리키리 던전 2_[AN9J][K]_FFR.gba,12582912,f94cb5a128c8a98e6e18e6a0598ebf9b266f54da0750367af8defac3eb2df7d4,HISTORICAL_BUILD_REFERENCE,"{'title': 'NARIKIRI2\x00\x00\x00', 'game_code': 'AN9J', 'maker': 'AF', 'revision': 0, 'checksum': 45, 'computed_checksum': 45}"
테일즈 오브 더 월드 나리키리 던전 2_[AN9J][K]_FFR_BETA3(071102).gba,9961472,c6d7a401aa2a22362b2d27d0d31632cb2180a86b094788815d949b84c7fc944d,IMMUTABLE_PRODUCT_SOURCE,"{'title': 'NARIKIRI2\x00\x00\x00', 'game_code': 'AN9J', 'maker': 'AF', 'revision': 0, 'checksum': 45, 'computed_checksum': 45}"
테일즈 오브 더 월드 나리키리 던전 2_[AN9J][J].gba,8388608,a92c0f6dbb5c013b47b7178e23d81663e3952a10df7b1f68967ebf7bb3b98eb7,READ_ONLY_COMPARISON_REFERENCE,"{'title': 'NARIKIRI2\x00\x00\x00', 'game_code': 'AN9J', 'maker': 'AF', 'revision': 0, 'checksum': 45, 'computed_checksum': 45}"
테일즈 오브 더 월드 나리키리 던전 2_[AN9J][K]_FFR.gba,12582912,f94cb5a128c8a98e6e18e6a0598ebf9b266f54da0750367af8defac3eb2df7d4,HISTORICAL_BUILD_REFERENCE,"{'title': 'NARIKIRI2\x00\x00\x00', 'game_code': 'AN9J', 'maker': 'AF', 'revision': 0, 'checksum': 45, 'computed_checksum': 45}"
테일즈 오브 더 월드 나리키리 던전 2_[AN9J][K]_FFR_BETA3(071102).gba,9961472,c6d7a401aa2a22362b2d27d0d31632cb2180a86b094788815d949b84c7fc944d,IMMUTABLE_PRODUCT_SOURCE,"{'title': 'NARIKIRI2\x00\x00\x00', 'game_code': 'AN9J', 'maker': 'AF', 'revision': 0, 'checksum': 45, 'computed_checksum': 45}"
NARIKIRI2_AN9J_K_DALMOORI_v0.9b.gba,13107200,d761088a8549cb5bc60a2f03a4b78eea5282dbc17ed5da4ef1de27da4ad8d4d4,FROZEN_AUDIT_TARGET,"{'title': 'NARIKIRI2\x00\x00\x00', 'game_code': 'AN9J', 'maker': 'AF', 'revision': 0, 'checksum': 45, 'computed_checksum': 45}"
